Code,Categorie,Nom fédération,Nom catégorie
"CLUB254",2,"Fédérationdes arts énergétiques et martiaux chinois","Fédération unisport non olympique"
"CLUB255",2,"Fédération Française des sports de traîneau, de ski pulka et de cross canins ","Fédération unisport non olympique"
"CLUB256",2,"Fédération Française de twirling bâton","Fédération unisport non olympique"
"CLUB257",2,"Fédération Française de vol à voile","Fédération unisport non olympique"
"CLUB258",2,"Fédération Française de vol libre","Fédération unisport non olympique"
"CLUB260",2,"Fédération française de polo","Fédération unisport non olympique"
"CLUB261",2,"Fédération française de kick boxing, muay thaï et disciplines associées","Fédération unisport non olympique"
"CLUB263",2,"Fédération Française de double dutch","Fédération unisport non olympique"
"CLUB264",2,"Fédération Flying Disc France","Fédération unisport non olympique"
"CLUB265",2,"Fédération nautique de pêche sportive en apnée","Fédération unisport non olympique"
"CLUB266",2,"Fédération de force","Fédération unisport non olympique"
"CLUB267",2,"Fédération Française des pêches sportives","Fédération unisport non olympique"
"CLUB401",4,"Fédération Française des clubs alpins et de montagne","Fédération multisports affinitaire"
"CLUB402",4,"Fédération Française d'éducation physique et de gymnastique volontaire","Fédération multisports affinitaire"
"CLUB403",4,"Fédération Française sports pour tous","Fédération multisports affinitaire"
"CLUB404",4,"Fédération Française de la retraite sportive","Fédération multisports affinitaire"
"CLUB405",4,"Fédération Française du sport travailliste","Fédération multisports affinitaire"
"CLUB406",4,"Fédération des clubs de la Défense","Fédération multisports affinitaire"
"CLUB407",4,"Fédération nationale du sport en milieu rural","Fédération multisports affinitaire"
"CLUB408",4,"Fédération sportive et culturelle de France","Fédération multisports affinitaire"
"CLUB409",4,"Fédération Française Maccabi","Fédération multisports affinitaire"
"CLUB410",4,"Fédération sportive et gymnique du travail","Fédération multisports affinitaire"
"CLUB411",4,"Fédération sportive de la Police Nationale","Fédération multisports affinitaire"
"CLUB413",4,"Union Française des oeuvres laïques d'éducation physique (UFOLEP)","Fédération multisports affinitaire"
"CLUB414",4,"Union nationale des centres sportifs de plein air (UCPA)","Fédération multisports affinitaire"
"CLUB415",4,"Fédération Française omnsisports des personnels de l'éducation nationale et jeunesse et sports","Fédération multisports affinitaire"
"CLUB417",4,"Union Nationale Sportive Léo Lagrange","Fédération multisports affinitaire"
"CLUB418",4,"Fédération Française du sport d'entreprise","Fédération multisports affinitaire"
"CLUB420",4,"Fédération sportive des ASPTT","Fédération multisports affinitaire"
"CLUB421",4,"Fédération Française des sports populaires","Fédération multisports affinitaire"
"CLUB501",5,"Fédération Française handisport","Fédération multisports sport et handicap"
"CLUB503",5,"Fédération Française du sport adapté","Fédération multisports sport et handicap"
"CLUB601",6,"Fédération française du sport universitaire","Fédération multisports scolaire ou universitaire"
"CLUB602",6,"Fédération sportive éducative de l'enseignement catholique (UGSEL)","Fédération multisports scolaire ou universitaire"
"CLUB603",6,"Union nationale des clubs universitaires","Fédération multisports scolaire ou universitaire"
"CLUB604",6,"Union nationale du sport scolaire (UNSS)","Fédération multisports scolaire ou universitaire"
"CLUB605",6,"Union sportive de l'enseignement du premier degré","Fédération multisports scolaire ou universitaire"
