Code,Libellé
"ec-1-1","En contrat d'apprentissage ou de professionnalisation"
"ec-1-2","Placés par une agence d'intérim"
"ec-1-3","Emplois aidés (contrat unique d'insertion, d'initiative emploi, d'accompagnement dans l'emploi, avenir, etc.)"
"ec-1-4","Stagiaires rémunérés en entreprise"
"ec-1-5","Autres emplois à durée limitée, CDD, contrat court, saisonnier, vacataire, etc."
"ec-1-6","Emplois sans limite de durée, CDI, titulaire de la fonction publique"
"ec-2-1","Non salariés : Indépendants"
"ec-2-2","Non salariés : Employeurs"
"ec-2-3","Non salariés : Aides familiaux"
